"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.815291587E-3,-3.758234711E0,2.309696960E0,7.690557404E0
8.135708282E-3,-4.351002045E0,2.512525177E0,6.746320953E0
1.808670838E-2,-4.927902374E0,2.546654205E0,6.301296387E0
2.803870826E-2,-5.283862152E0,2.426603851E0,6.916217651E0
3.798970836E-2,-5.204676819E0,2.011217651E0,7.860304413E0
4.794070846E-2,-4.972808990E0,1.662742310E0,8.320597229E0
5.789270834E-2,-4.081262970E0,1.372346191E0,9.289083252E0
6.784370844E-2,-3.548071747E0,9.312135315E-1,1.028316605E1
7.779470831E-2,-3.495381317E0,7.875123596E-1,1.075543396E1
8.774670842E-2,-3.618275757E0,9.048683167E-1,1.097772171E1
9.769770829E-2,-3.618724823E0,9.848020935E-1,1.110750183E1
1.076487084E-1,-3.585793304E0,1.039139099E0,1.081740509E1
1.176007083E-1,-3.527564392E0,1.143172760E0,1.004411316E1
1.275515833E-1,-3.582350464E0,1.435963898E0,9.208401031E0
1.375025834E-1,-3.453917542E0,1.509760437E0,8.926387482E0
1.474545833E-1,-3.494333496E0,1.515897675E0,8.175399170E0
1.574055834E-1,-3.626358948E0,1.613195343E0,8.026458893E0
1.673565833E-1,-2.881956940E0,1.102756805E0,9.066645813E0
1.773085834E-1,-3.804787903E0,1.499132538E0,8.733887787E0
1.872595833E-1,-3.774251404E0,2.076481934E0,8.319399719E0
1.972105834E-1,-3.403622131E0,1.844763794E0,8.987610168E0
2.071625832E-1,-3.061134338E0,1.490300903E0,9.231453094E0
2.171135833E-1,-2.867287445E0,1.487606506E0,9.126670990E0
2.270645835E-1,-2.871927795E0,1.512305145E0,9.240284729E0
2.370165833E-1,-2.879412231E0,1.614392853E0,9.406139832E0
2.469675834E-1,-2.584076385E0,1.601220245E0,9.772727509E0
2.569185833E-1,-2.250719604E0,4.459226990E-1,1.078791641E1
2.668705834E-1,-3.555406494E0,6.017486572E-1,1.046788193E1
2.768215833E-1,-4.136647797E0,1.390757904E0,1.042701691E1
2.867725834E-1,-3.570375366E0,1.477427673E0,1.051248917E1
2.967245833E-1,-2.885549469E0,1.194366302E0,1.112291977E1
3.066755834E-1,-2.389331360E0,7.991880798E-1,1.144834305E1
3.166265835E-1,-2.043400726E0,2.293231201E-1,1.093850327E1
3.265785833E-1,-2.181114349E0,-3.894900513E-1,1.034169434E1
3.365295834E-1,-2.621498566E0,-9.696835327E-1,1.043031006E1
3.464805833E-1,-2.869383087E0,-1.325643311E0,1.098790054E1
3.564325834E-1,-2.584076385E0,-1.378932495E0,1.111723160E1
3.663835833E-1,-2.242935791E0,-1.167422333E0,1.119716537E1
3.763345834E-1,-1.741478577E0,-1.386865997E0,1.157363251E1
3.862855833E-1,-1.048419800E0,-1.775158539E0,1.172691376E1
3.962375834E-1,-4.770579529E-1,-1.960772552E0,1.130404312E1
4.061885835E-1,-4.442761230E-1,-2.758314056E0,1.093161758E1
4.161395833E-1,-1.518741760E0,-3.319497070E0,9.981692963E0
4.260915834E-1,-2.525548096E0,-3.561843109E0,9.213789825E0
4.360425833E-1,-2.602039032E0,-3.744912415E0,8.439599762E0
4.459935834E-1,-1.982028351E0,-4.085753632E0,7.480693817E0
4.559455833E-1,-1.279539185E0,-4.075425110E0,7.500602417E0
4.658965834E-1,-1.564247131E0,-1.320104828E0,8.626860352E0
4.758475833E-1,-2.188748474E0,1.201401672E0,9.299860840E0
4.857995834E-1,-1.219214630E0,2.549198914E-1,9.204060059E0
4.957505835E-1,3.594026184E-1,-8.315208435E-1,1.078402451E1
5.057015833E-1,4.610412598E-1,-5.593867493E-1,1.150163223E1
5.156535835E-1,1.103205872E-1,-6.283932495E-1,1.092248657E1
5.256045833E-1,3.755690002E-1,-9.105564880E-1,9.872719574E0
5.355555834E-1,7.979905701E-1,-9.051676941E-1,9.017398224E0
5.455075833E-1,4.616400146E-1,-4.665797424E-1,8.820557556E0
5.554585834E-1,-1.417552185E-1,1.405577087E-1,8.577014008E0
5.654095833E-1,-2.561174011E-1,7.349716187E-1,8.344697113E0
5.753615834E-1,5.242098999E-1,1.147663422E0,7.710466003E0
5.853125833E-1,1.342258759E0,1.634151764E0,7.079827423E0
5.952635834E-1,1.756746826E0,2.159559174E0,6.775959320E0
6.052155835E-1,1.731898499E0,2.378853149E0,6.650669861E0
6.151665833E-1,1.616787872E0,2.330354004E0,6.551426239E0
6.251175834E-1,1.252295837E0,2.192041626E0,6.868017883E0
6.350695833E-1,4.719685364E-1,2.208956451E0,8.149053955E0
6.450205834E-1,1.016386414E0,2.295775909E0,8.343050537E0
6.549715833E-1,2.178419952E0,2.433489532E0,7.485334167E0
6.649225834E-1,2.566712494E0,2.144290924E0,7.104825439E0
6.748745833E-1,2.436483307E0,1.757644958E0,7.420668640E0
6.848255834E-1,2.168091431E0,1.836680603E0,8.096513214E0
6.947765835E-1,1.850002899E0,2.003433838E0,9.577533417E0
7.047285833E-1,1.808688812E0,2.066452789E0,1.132440079E1
7.146795834E-1,1.936073914E0,1.720671844E0,1.198348022E1
7.246305833E-1,1.935175781E0,1.151255951E0,1.187420746E1
7.345825834E-1,1.833237762E0,1.074914703E0,1.174592422E1
7.445335833E-1,1.557361450E0,1.555265808E0,1.143337418E1
7.544845834E-1,1.573976898E0,1.445394287E0,1.078133011E1
7.644365833E-1,2.188598785E0,1.156495056E0,1.000998413E1
7.743875834E-1,2.508333893E0,1.267115021E0,9.335187378E0
7.843385835E-1,2.714305573E0,1.342558136E0,8.561596069E0
7.942905833E-1,3.006497955E0,1.289268951E0,7.897277527E0
8.042415834E-1,3.525917816E0,1.059047699E0,7.407046967E0
8.141925833E-1,3.717818756E0,8.268804932E-1,6.827003174E0
8.241445834E-1,3.435206451E0,6.439608765E-1,6.106551361E0
8.340955833E-1,2.923420715E0,6.529421997E-1,5.494623871E0
8.440465834E-1,2.407743073E0,7.114704895E-1,4.931644592E0
8.539985833E-1,1.888323212E0,7.626640320E-1,4.305197296E0
8.639495834E-1,1.064586182E0,4.514611816E-1,3.044668579E0
8.739005832E-1,-2.273771667E-1,2.634521484E-1,2.251318359E-1
8.838525834E-1,-2.049238586E-1,1.218765564E0,-1.479074249E0
8.938035835E-1,1.037492523E0,1.219364319E0,-2.258952484E0
9.037545833E-1,2.297572174E0,-4.221221924E-2,-2.844534760E0
9.137065834E-1,2.915038147E0,-9.500743103E-1,-2.879711609E0
9.236575833E-1,3.438349915E0,-2.125280457E0,-2.557282104E0
9.336085834E-1,4.004472656E0,-3.189118195E0,-1.820963287E0
9.435605833E-1,5.075345764E0,-4.066443787E0,-9.413923645E-1
9.535115834E-1,6.042185211E0,-5.243745575E0,-4.808001709E-1
9.634625833E-1,5.985303497E0,-5.721701660E0,1.257385254E-1
9.734135834E-1,5.397475891E0,-5.302423553E0,2.344125366E-1
9.833655835E-1,5.198689270E0,-4.846621399E0,-4.037104797E-1
9.933165833E-1,5.461842041E0,-4.681065674E0,-1.445394287E0
1.003267583E0,6.406976624E0,-5.490133209E0,-2.067650299E0
1.013219583E0,7.931107178E0,-6.747368774E0,-1.562450867E0
1.023170583E0,8.944200439E0,-7.352260895E0,-1.595681763E-1
1.033121583E0,9.324260101E0,-7.522606659E0,1.878443756E0
1.043073583E0,9.252858582E0,-7.844736786E0,3.435505829E0
1.053024583E0,9.282496948E0,-7.895181885E0,4.221670990E0
1.062975583E0,9.377998352E0,-7.944429474E0,4.622836761E0
1.072927583E0,9.721983032E0,-8.362360382E0,4.713847504E0
1.082878583E0,1.068552933E1,-9.012458496E0,4.837939453E0
1.092829583E0,1.189082291E1,-1.032208511E1,5.208568726E0
1.102781583E0,1.332064957E1,-1.104433319E1,7.003186798E0
1.112732583E0,1.382584900E1,-1.105600891E1,8.756341095E0
1.122683958E0,1.347602646E1,-1.054302567E1,9.212592316E0
1.132635958E0,1.386147491E1,-9.336235199E0,8.870104523E0
1.142586958E0,1.527528488E1,-8.231532440E0,7.861501923E0
1.152537958E0,1.805096283E1,-7.458988953E0,6.677314453E0
1.162489958E0,2.031979477E1,-6.231242065E0,6.223308563E0
1.172440958E0,2.135549103E1,-4.433630219E0,6.161786499E0
1.182391958E0,2.220572296E1,-4.690196686E0,5.856122131E0
1.192343958E0,2.232816833E1,-5.415588226E0,5.342390442E0
1.202294958E0,2.102572678E1,-5.575605469E0,5.379363556E0
1.212245958E0,1.885239624E1,-5.470823364E0,6.158193970E0
1.222197958E0,1.715971619E1,-5.890400848E0,6.775061188E0
1.232148958E0,1.597492996E1,-6.140979767E0,6.873256989E0
1.242099958E0,1.554262894E1,-6.161786499E0,6.682403870E0
1.252051958E0,1.531360519E1,-5.686075745E0,6.174210663E0
1.262002958E0,1.538889862E1,-5.202581177E0,6.128106537E0
1.271953958E0,1.594828537E1,-4.402944031E0,5.240153046E0
1.281905958E0,1.765264114E1,-2.729274445E0,3.529510345E0
1.291856958E0,1.857951370E1,-2.517764282E-1,9.601034546E-1
1.301807958E0,1.616368744E1,1.658551025E0,-2.449955292E0
