"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.126402500E-2,-4.019642830E0,3.378067255E0,7.778468132E0
1.371543100E-2,-3.940679789E0,3.466601849E0,7.795217991E0
1.616199400E-2,-3.840181351E0,3.540779352E0,7.845467091E0
1.860595200E-2,-3.768396616E0,3.631706476E0,7.984251022E0
2.104923300E-2,-3.732504129E0,3.749253988E0,8.166404724E0
2.349225400E-2,-3.667897940E0,3.911965847E0,8.384151459E0
2.591105600E-2,-3.619742393E0,4.031607151E0,8.647361755E0
2.832991100E-2,-3.679862022E0,4.402793884E0,9.260522842E0
3.077267100E-2,-3.679862022E0,4.402793884E0,9.260522842E0
3.321053600E-2,-3.679862022E0,4.402793884E0,9.260522842E0
3.562449400E-2,-3.699004650E0,4.496113777E0,9.650552750E0
3.800741100E-2,-3.699004650E0,4.496113777E0,9.650552750E0
4.041428600E-2,-3.516851187E0,4.398007870E0,9.844670296E0
4.285704600E-2,-3.516851187E0,4.398007870E0,9.844670296E0
4.527584800E-2,-2.863311291E0,4.529613495E0,1.004327488E1
4.767074400E-2,-2.650350094E0,4.610969067E0,1.026819992E1
5.006564000E-2,-2.726920605E0,4.328616142E0,1.016770172E1
5.246053600E-2,-2.908775091E0,3.959822416E0,9.810872078E0
5.485543100E-2,-3.205784082E0,3.574278831E0,9.253045082E0
5.725032700E-2,-3.504886866E0,3.205784082E0,8.599505424E0
5.964522300E-2,-3.708575964E0,2.858525753E0,8.070392609E0
6.204011900E-2,-3.785146236E0,2.533101797E0,7.761718273E0
6.443501500E-2,-3.763610840E0,2.312663078E0,7.613363266E0
6.682991100E-2,-3.617349625E0,2.149951220E0,7.639684677E0
6.922480600E-2,-3.411566973E0,1.963011861E0,7.713861942E0
7.161970200E-2,-3.275176048E0,1.872084618E0,7.907680511E0
7.401459800E-2,-3.205784082E0,1.797907114E0,8.147261620E0
7.640949400E-2,-3.251247883E0,1.726122379E0,8.367402077E0
7.880439000E-2,-3.418745279E0,1.678265929E0,8.575576782E0
8.122324400E-2,-4.038785458E0,1.565803289E0,8.841479301E0
8.367069200E-2,-4.357329845E0,1.496411443E0,9.128618240E0
8.612199400E-2,-4.721039295E0,1.472483277E0,9.291629791E0
8.857204600E-2,-5.044369221E0,1.427019596E0,9.346664429E0
9.102121300E-2,-5.338985443E0,1.345364571E0,9.521340370E0
9.346980600E-2,-5.563910961E0,1.273579836E0,9.688838005E0
9.591782700E-2,-5.776872158E0,1.247258782E0,9.782157898E0
9.836537900E-2,-5.999703884E0,1.225723386E0,1.009591675E1
1.008126710E-1,-6.200700760E0,1.218544960E0,1.046949673E1
1.032596500E-1,-6.447161674E0,1.259222865E0,1.040489006E1
1.057064210E-1,-6.579065800E0,1.261615753E0,1.054845905E1
1.081529310E-1,-6.693921566E0,1.323829174E0,1.023230743E1
1.105992330E-1,-6.837490559E0,1.345364571E0,1.006241703E1
1.130454310E-1,-6.923632145E0,1.261615753E0,1.039053345E1
1.154914210E-1,-7.158428192E0,9.481559992E-1,1.015334511E1
1.179373060E-1,-6.849454880E0,9.571290761E-2,9.976275444E0
1.203831400E-1,-6.837490559E0,-1.674975827E-2,9.897313118E0
1.228288690E-1,-6.768098831E0,7.657032460E-2,9.887741089E0
1.252744940E-1,-6.837490559E0,1.268195957E-1,9.937990189E0
1.277200150E-1,-6.993024349E0,8.614161611E-2,9.892526627E0
1.301654310E-1,-7.120142937E0,-1.196411345E-2,9.700801849E0
1.326108480E-1,-7.084250450E0,-1.986042857E-1,9.650552750E0
1.350561610E-1,-6.926024914E0,-3.687937856E-1,9.626625061E0
1.375013690E-1,-6.715456963E0,-4.980062246E-1,9.384949684E0
1.399465770E-1,-6.457031727E0,-6.248258352E-1,9.255437851E0
1.423916810E-1,-6.193522453E0,-7.468597889E-1,9.250652313E0
1.448367330E-1,-5.918347836E0,-8.859425783E-1,9.291629791E0
1.472817330E-1,-5.626124382E0,-9.816554785E-1,9.521340370E0
1.497266810E-1,-5.386841774E0,-1.070189953E0,9.758230209E0
1.521715770E-1,-5.185545921E0,-1.089332461E0,1.001216793E1
1.546164210E-1,-4.943870544E0,-1.079761267E0,1.030648518E1
1.570612130E-1,-4.759324074E0,-1.072582722E0,1.054128075E1
1.595059520E-1,-4.532006264E0,-1.034297585E0,1.070399284E1
1.619506400E-1,-4.309473515E0,-9.505487680E-1,1.073270702E1
1.643952750E-1,-4.072285175E0,-8.282157183E-1,1.060349464E1
1.668398580E-1,-3.821038723E0,-7.013961077E-1,1.054367352E1
1.692843900E-1,-3.557528973E0,-5.721837282E-1,1.040010452E1
1.717161610E-1,-3.073879719E0,-1.096511006E0,1.021316528E1
1.741229830E-1,-2.353341103E0,-2.437089920E0,1.018923664E1
1.765180880E-1,-1.568196177E0,-2.841775894E0,1.044078255E1
1.789139210E-1,-3.496512175E-1,-3.066701412E0,1.144845963E1
1.813098060E-1,7.229315639E-1,-3.282354355E0,1.333998585E1
1.837048580E-1,1.661516190E0,-3.488137245E0,1.526232052E1
1.860999630E-1,2.303091764E0,-3.600599766E0,1.598764420E1
1.884958480E-1,2.453839540E0,-3.535993576E0,1.514746475E1
1.908917330E-1,2.353341103E0,-3.267997503E0,1.399831200E1
1.932867860E-1,2.078166485E0,-2.671885490E0,1.362951756E1
1.956818900E-1,1.369292736E0,-1.656730533E0,1.382363510E1
1.980777230E-1,-2.679961324E-1,-3.951148391E-1,1.348355579E1
2.004736080E-1,-2.087737799E0,6.583253145E-1,1.263141155E1
2.028687130E-1,-3.110071182E0,1.553839207E0,1.261675549E1
2.052638170E-1,-3.559921980E0,2.204986095E0,1.341177082E1
2.076597020E-1,-3.514458179E0,2.571387053E0,1.405573940E1
2.100555360E-1,-3.093321562E0,2.638386011E0,1.450110340E1
2.124506400E-1,-2.520838737E0,2.597707987E0,1.480738449E1
2.148457440E-1,-1.852941990E0,2.487339020E0,1.505414486E1
2.172416290E-1,-1.118046403E0,2.300698996E0,1.514507198E1
2.196374630E-1,-4.334000051E-1,2.116451740E0,1.499910927E1
2.220325150E-1,2.273181528E-1,1.886441588E0,1.472124290E1
2.244276190E-1,7.899305820E-1,1.680658817E0,1.436231995E1
2.268235040E-1,1.249651670E0,1.419841170E0,1.394806194E1
2.292193900E-1,1.625623941E0,1.180259824E0,1.346201992E1
2.316144420E-1,1.970489502E0,8.859425783E-1,1.290658665E1
2.340095460E-1,2.257628202E0,6.224330068E-1,1.232722378E1
2.364054310E-1,2.489732027E0,3.759722710E-1,1.176939774E1
2.388013170E-1,2.631207705E0,1.507478207E-1,1.121874905E1
2.411963690E-1,2.738884687E0,-7.417750359E-2,1.068724346E1
2.435914730E-1,2.772384167E0,-2.898306549E-1,1.022512913E1
2.459873580E-1,2.762812853E0,-4.716851711E-1,9.842277527E0
2.483831920E-1,2.662314177E0,-6.367899179E-1,9.562018394E0
2.507782960E-1,2.535494804E0,-7.875377536E-1,9.329915047E0
2.531734000E-1,2.358126640E0,-9.457631707E-1,9.162117958E0
2.555692860E-1,2.401197433E0,-1.297508121E0,9.049654961E0
2.579651190E-1,2.939881802E0,-2.025524378E0,9.044869423E0
2.603601710E-1,4.172783375E0,-3.196212769E0,9.147761345E0
2.627552750E-1,5.353342533E0,-4.352544308E0,9.459127426E0
2.651511610E-1,6.526423931E0,-5.470590591E0,9.964311600E0
2.675470460E-1,7.538887024E0,-6.346662998E0,1.045992470E1
2.699420980E-1,8.326724052E0,-7.012166977E0,1.037348461E1
2.723372020E-1,8.183154106E0,-6.887740135E0,1.001934624E1
2.747330880E-1,6.985845566E0,-5.659623623E0,9.703194618E0
2.771289730E-1,5.348556995E0,-3.974179268E0,9.636196136E0
2.795240250E-1,3.543172121E0,-2.204986095E0,9.652945518E0
2.819191290E-1,1.980060697E0,-6.343970895E-1,9.696016312E0
2.843150150E-1,9.002995491E-1,5.099703074E-1,9.813264847E0
2.867108480E-1,3.999004960E-1,1.187438250E0,9.940383911E0
2.891059000E-1,4.405784607E-1,1.290329576E0,9.976275444E0
2.915010040E-1,5.291129351E-1,9.505487680E-1,9.971489906E0
2.938969420E-1,3.110669367E-2,1.076770201E-1,1.056760216E1
2.962927750E-1,3.041875660E-1,-5.937191248E-1,1.144606686E1
2.986878270E-1,7.085745931E-1,-1.467697620E0,1.043599701E1
3.010829310E-1,1.082154036E0,-2.245664120E0,8.654540062E0
3.034788170E-1,1.113260746E0,-2.710170746E0,7.599006653E0
3.058747020E-1,7.971090674E-1,-2.980559587E0,7.074679375E0
3.082697540E-1,4.046861231E-1,-3.241676569E0,7.024429798E0
3.106648580E-1,1.220339537E-1,-3.452244759E0,7.249355316E0
3.130607440E-1,6.460621208E-2,-3.598206997E0,7.498209000E0
3.154565770E-1,1.220339537E-1,-3.641277790E0,7.560422421E0
3.178516810E-1,1.555334777E-1,-3.557528973E0,7.486244678E0
3.202467860E-1,-1.507478207E-1,-3.160320520E0,7.177570820E0
3.226426710E-1,-6.678966284E-1,-2.461018085E0,6.780063152E0
3.250385040E-1,-1.067797065E0,-1.812264085E0,6.693921566E0
3.274336080E-1,-1.314257860E0,-1.254437327E0,6.435197353E0
3.298287130E-1,-1.474876046E0,-6.918248534E-1,6.066702843E0
3.322245980E-1,-1.721336842E0,-1.292124242E-1,5.556732178E0
3.346204310E-1,-1.893620014E0,3.352942765E-1,5.341378212E0
3.370154830E-1,-1.996810555E0,6.415755749E-1,5.482554913E0
3.394105880E-1,-1.953440547E0,7.731808424E-1,5.896812439E0
3.418064730E-1,-1.644766450E0,7.061817646E-1,6.425626278E0
3.442023580E-1,-1.153938770E0,4.740779996E-1,6.947560310E0
3.465974110E-1,-5.697908998E-1,1.292124242E-1,7.321139812E0
3.489925150E-1,3.110669367E-2,-2.321037948E-1,7.445566654E0
3.513884000E-1,5.602195859E-1,-5.338985324E-1,7.447959423E0
3.537842860E-1,1.017547846E0,-7.564310431E-1,7.333104134E0
3.561793380E-1,1.434198022E0,-9.481559992E-1,7.132106781E0
3.585744420E-1,1.790728688E0,-1.086939692E0,6.863811970E0
3.609703270E-1,2.018345833E0,-1.161117196E0,6.552744865E0
3.633661610E-1,2.204986095E0,-1.185045362E0,6.212665081E0
3.657612650E-1,2.449054003E0,-1.235294700E0,5.855835438E0
3.681563690E-1,2.710170746E0,-1.252044439E0,5.516054630E0
3.705522540E-1,2.908775091E0,-1.247258782E0,5.135296345E0
3.729480880E-1,2.968595505E0,-1.187438250E0,4.735395908E0
3.753431400E-1,2.911167860E0,-1.101296663E0,4.376472473E0
3.777382440E-1,2.813062191E0,-9.720842242E-1,4.048357010E0
3.801341810E-1,2.626421928E0,-7.971090674E-1,3.734897137E0
3.825300150E-1,2.382055044E0,-6.176473498E-1,3.488137245E0
3.849250670E-1,2.193022013E0,-4.549354017E-1,3.270390272E0
3.873201710E-1,2.374876499E0,-4.908277392E-1,2.908775091E0
3.897160560E-1,3.763610840E0,-1.031904817E0,1.850549221E0
3.921119420E-1,4.601397991E0,-1.366899967E0,1.041476011E0
3.945069940E-1,4.771587372E0,-1.398006678E0,9.098708034E-1
3.969020980E-1,4.331008911E0,-1.235294700E0,1.297508121E0
