"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.938333269E-3,-4.809049530E0,4.905149689E0,7.187603302E0
1.189033338E-2,-4.536466370E0,4.943320312E0,7.101232910E0
2.184233326E-2,-4.435725861E0,4.946912842E0,7.246131592E0
3.179433336E-2,-4.480333099E0,4.994813232E0,7.452552338E0
4.174633324E-2,-4.555776215E0,4.893473969E0,7.613018646E0
5.169833335E-2,-4.595144348E0,4.645739136E0,7.813601532E0
6.165033323E-2,-4.905598755E0,4.705315247E0,8.174351349E0
7.160233334E-2,-5.298381958E0,4.574936371E0,8.512049103E0
8.155433321E-2,-5.477709045E0,4.576882324E0,9.004524994E0
9.150633332E-2,-5.731132050E0,5.182822266E0,1.013392639E1
1.014583332E-1,-5.327571259E0,5.478906555E0,1.070439011E1
1.114103333E-1,-3.725602570E0,4.415218506E0,9.652078400E0
1.213623332E-1,-2.851121063E0,3.897295532E0,9.787397003E0
1.313143333E-1,-2.882256317E0,3.907174988E0,9.367220764E0
1.412663332E-1,-3.033890991E0,3.274440765E0,8.513845367E0
1.512183333E-1,-4.135001221E0,2.574496307E0,8.964558105E0
1.611703332E-1,-5.753435669E0,2.274220734E0,9.757309570E0
1.711223333E-1,-7.206913147E0,2.254162445E0,9.726024628E0
1.810753334E-1,-7.945926361E0,2.092498627E0,9.477391663E0
1.910273333E-1,-8.023614807E0,1.701661377E0,9.464817810E0
2.009793334E-1,-7.980354767E0,1.581461334E0,9.401200104E0
2.109313332E-1,-7.828121338E0,1.346300354E0,9.218280487E0
2.208833334E-1,-6.772965546E0,1.476230164E0,8.884774017E0
2.308353332E-1,-6.148015137E0,2.199226685E0,8.634045410E0
2.407873333E-1,-6.188880157E0,3.052751770E0,8.586743774E0
2.507393332E-1,-5.187761993E0,2.373464355E0,6.856491852E0
2.606913333E-1,-4.524341583E0,2.269730072E0,6.797664185E0
2.706433332E-1,-4.045786743E0,1.928739166E0,7.362888794E0
2.805953333E-1,-4.912185059E0,9.541159058E-1,1.070678513E1
2.905473332E-1,-5.850134583E0,7.708969116E-1,1.277338760E1
3.004993333E-1,-5.511239319E0,9.708810425E-1,1.255753647E1
3.104513332E-1,-4.572541351E0,8.090675354E-1,1.240275833E1
3.204033333E-1,-3.654500427E0,1.222507782E0,1.176343781E1
3.303553332E-1,-2.451601868E0,1.938468933E0,1.069645660E1
3.403073333E-1,-9.535171509E-1,1.966311035E0,9.423354034E0
3.502593334E-1,-4.116439819E-1,1.251547394E0,8.579858093E0
3.602113333E-1,-8.789721680E-1,1.688488770E-1,7.978259125E0
3.701633334E-1,-1.682650909E0,-8.174501038E-1,7.865393829E0
3.801153332E-1,-2.198927307E0,-1.262624359E0,6.731202393E0
3.900683334E-1,-2.340383148E0,-1.545685730E0,5.538632355E0
4.000203332E-1,-1.979783020E0,-2.587369537E0,5.160368958E0
4.099723333E-1,-1.076561279E0,-3.567381592E0,4.772525482E0
4.199243332E-1,-1.540446625E0,-1.370100861E0,4.196523285E0
4.298763333E-1,-1.166973267E0,-2.751278687E-1,2.710114288E0
